name,code,country,lat,lon,elev,id,peak_name,peak_lon,peak_lat,summit_lon,summit_lat,min_lon,min_lat,max_lon,max_lat,min_height,max_height,bbox_width,bbox_height,bbox_depth
Malh deth Chuc,Malhdeth,ES,42.80656666666667,0.6699666666666667,2018.0m,86,Malh deth Chuc,0.6699666666666667,42.80656666666667,0.6691666666666667,42.80722222222222,0.6672222222222223,42.80444444444445,0.6719444444444445,42.809444444444445,1843,2020,18,19,167
Mont Aragnoué,M.Aragno,FR,43.00748333333333,0.91915,808.0m,89,Mont Aragnoué,0.91915,43.00748333333333,0.9188888888888889,43.0075,0.9163888888888889,43.00472222222222,0.9216666666666666,43.01027777777778,668,820,20,21,142
Mont du Lys,M.duLys,FR,42.727,0.5790166666666666,2234.0m,90,Mont du Lys,0.5790166666666666,42.727,0.5794444444444444,42.72638888888889,0.5766666666666667,42.72416666666667,0.5816666666666667,42.72916666666667,2076,2235,19,19,149
Mont Jammes,M.Jammes,FR,43.0891,0.7611666666666667,485.0m,91,Mont Jammes,0.7611666666666667,43.0891,0.76,43.09027777777778,0.7583333333333333,43.0875,0.7627777777777778,43.091944444444444,414,506,17,17,82
Mont Né,Mont Né,FR,42.877066666666664,0.47665,2147.0m,92,Mont Né,0.47665,42.877066666666664,0.4772222222222222,42.87694444444445,0.47444444444444445,42.87416666666667,0.47944444444444445,42.87972222222222,1905,2157,19,21,242
Mont Pourcet,M.Pource,FR,43.03803333333333,0.7981833333333334,710.0m,93,Mont Pourcet,0.7981833333333334,43.03803333333333,0.7983333333333333,43.03666666666667,0.7955555555555556,43.03527777777778,0.8008333333333333,43.03944444444445,557,718,20,16,151
Montagne de Lège,Montagne,FR,42.8831,0.57785,1738.0m,94,Montagne de Lège,0.57785,42.8831,0.5791666666666666,42.883611111111115,0.5763888888888888,42.880833333333335,0.5805555555555555,42.88583333333334,1549,1752,16,19,193
Montagne de Rié,Montagne,FR,42.9112,0.6783166666666667,1130.0m,96,Montagne de Rié,0.6783166666666667,42.9112,0.6794444444444444,42.911388888888894,0.6766666666666666,42.908611111111114,0.6811111111111111,42.91388888888889,821,1139,17,20,308
Montagut,Montagut,ES,42.738550000000004,0.66775,2150.0m,97,Montagut,0.66775,42.738550000000004,0.6672222222222223,42.73861111111111,0.665,42.73583333333333,0.67,42.74138888888889,1964,2156,19,21,182
Pale Grande,PaleGran,FR,42.8983,0.8390166666666666,1621.0m,98,Pale Grande,0.8390166666666666,42.8983,0.8402777777777778,42.897222222222226,0.8375,42.89555555555556,0.8416666666666667,42.9,1486,1619,16,17,123
